Ref,Val,Package,PosX,PosY,Rot,Side
"C19","1uF","C_0603_1608Metric",61.250000,-21.500000,180.000000,bottom
"C22","1uF","C_0603_1608Metric",61.250000,-8.500000,180.000000,bottom
"D6","TPD1E01B04-dnp","D_0402_1005Metric",60.250000,-18.000000,-90.000000,bottom
"D7","TPD1E01B04-dnp","D_0402_1005Metric",59.250000,-17.400000,-90.000000,bottom
"D8","TPD1E01B04-dnp","D_0402_1005Metric",59.250000,-12.500000,90.000000,bottom
"D9","TPD1E01B04-dnp","D_0402_1005Metric",60.250000,-11.850000,90.000000,bottom
"P1","USB_C_Plug_USB3.0_9P","USB_C_Plug_G-Switch_GT-USB-8016A_9P_TopMnt_Horizontal",63.750000,-15.000000,-90.000000,bottom
"R6","5.1k","R_0603_1608Metric",51.250000,-15.850000,180.000000,bottom
"U3","MX25L3233FM1","SOP-8_5.28x5.23mm_P1.27mm",33.500000,-3.750000,0.000000,bottom
"U4","WE-TVS-82400102-dnp","SOT-23-6",56.450000,-14.600000,180.000000,bottom
